codex_id,glyph_cote,glyph_id,glyph_lecture,glyph_image,elements,element_ids
1,X.010.B.26,20.0,tzinacanoztoc,X.010.B.26-1.jpg,tzinacan|oztotl,697|448
1,X.010.B.27,21.0,tlachia,X.010.B.27-1.jpg,ixtelolotli,326
1,X.010.B.28,22.0,tecpatepec altepetl,X.010.B.28-1.jpg,tecpatl|tepetl|atl,538|570|75
1,X.010.B.29-,23.0,toltecateopan zaca...,X.010.B.29--1.jpg,zacatl|tzacualli|tolin|tentli|artefact_09,776|690|671|562|69
1,X.010.B.31,24.0,tlachia,X.010.B.31-1.jpg,ixtelolotli,326
1,X.010.B.32,25.0,oztotepec altepetl,X.010.B.32-1.jpg,oztotl|tepetl|atl,448|570|75
1,X.010.C.01,26.0,? altepetl,X.010.C.01-1.jpg,tepetl|atl,570|75
1,X.010.C.02,27.0,xiuhtepec altepetl,X.010.C.02-1.jpg,xihuitl_4|tepetl|atl,731|570|75
1,X.010.C.04,28.0,nopaltzin,X.010.C.04-1.jpg,nopalli,419
1,X.010.C.06,29.0,tepetla patlachiuhcan,X.010.C.06-1.jpg,tepetl|montagnes_04,570|389
1,X.010.C.07,30.0,tepetla,X.010.C.07-1.jpg,montagnes_03|tepetl,388|570
1,X.010.C.08,31.0,texcotl altepetl,X.010.C.08-1.jpg,tepetl|texcalli|atl,570|587|75
1,X.010.C.09,32.0,tepetla cuauhyacac,X.010.C.09-1.jpg,tepetl|montagnes_02,570|387
1,X.010.C.10,33.0,nopaltzin,X.010.C.10-1.jpg,nopalli,419
1,X.010.C.14,34.0,ozto...,X.010.C.14-1.jpg,oztotl,448
1,X.010.D.01,35.0,? altepetl,X.010.D.01-1.jpg,tepetl|atl,570|75
1,X.010.D.02,36.0,,X.010.D.02-1.jpg,apoctli,56
1,X.010.D.04,37.0,ce acatl xihuitl,X.010.D.04-1.jpg,ce|acatl|mitl|xiuhtic,117|26|374|737
1,X.010.D.05,38.0,cohua...,X.010.D.05-1.jpg,cohuatl|quimilli,153|512
1,X.010.D.06,39.0,ezcolotli,X.010.D.06-1.jpg,tlapalli|atl,631|75
1,X.010.D.10,40.0,itzcax,X.010.D.10-1.jpg,itztli|caxitl,319|116
1,X.010.D.11,41.0,cholollan,X.010.D.11-1.jpg,chocholli,143
1,X.010.D.12,42.0,eipohualli caxtolli ei xihuitl,X.010.D.12-1.jpg,centli|xihuitl_4|macuilli|ce|xiuhtic,119|731|344|117|737
1,X.010.D.13,43.0,oztotlitic,X.010.D.13-1.jpg,oztotl|tetl,448|584
1,X.010.D.14,44.0,nopaltzin,X.010.D.14-1.jpg,nopalli,419
1,X.010.D.16,45.0,tetetla,X.010.D.16-1.jpg,tetl,584
1,X.010.D.17,46.0,tlallanoztoc,X.010.D.17-1.jpg,oztotl|tlalli,448|615
1,X.010.D.18,47.0,ozto...,X.010.D.18-1.jpg,oztotl,448
1,X.010.D.19,48.0,tlachia,X.010.D.19-1.jpg,ixtelolotli,326
1,X.010.D.21,49.0,huexotla oztoc,X.010.D.21-1.jpg,huexocuahuitl|oztotl,280|448
1,X.010.D.22,50.0,tlachia,X.010.D.22-1.jpg,ixtelolotli,326
1,X.010.D.23,51.0,nopaltzin,X.010.D.23-1.jpg,nopalli,419
1,X.010.D.25,52.0,tlecoc altepetl,X.010.D.25-1.jpg,tepetl|atl|comitl,570|75|161
1,X.010.D.27,53.0,tepetla,X.010.D.27-1.jpg,tepetl|montagnes_06,570|391
1,X.010.E.01,54.0,? altepetl,X.010.E.01-1.jpg,tepetl|atl,570|75
1,X.010.E.03,55.0,pixahua,X.010.E.03-1.jpg,huitztli|itztli|atl|cilli|tliltic,291|319|75|146|664
1,X.010.E.04,56.0,quechollan altepetl,X.010.E.04-1.jpg,quecholli|tepetl|atl,499|570|75
1,X.010.E.06,57.0,acxopal,X.010.E.06-1.jpg,atl|?_05,75|9
1,X.010.E.07,58.0,cohuatzin,X.010.E.07-1.jpg,cohuatl,153
1,X.010.E.08,59.0,tolteca(tl),X.010.E.08-1.jpg,tolin|tentli,671|562
1,X.010.E.10,60.0,nahui xihuitl,X.010.E.10-1.jpg,ce|xiuhtic,117|737
1,X.010.E.11,61.0,tepexocmaco altepetl,X.010.E.11-1.jpg,macpalli|comitl|tepetl|atl,341|161|570|75
1,X.010.E.14,62.0,matlactli ei tecpatl xihuitl,X.010.E.14-1.jpg,macuilli|ce|tecpatl|xiuhtic,344|117|538|737
1,X.010.E.15,63.0,nacazxoc,X.010.E.15-1.jpg,nacaztli|atl,405|75
1,X.010.E.16,64.0,tolteca(tl),X.010.E.16-1.jpg,tolin|tentli,671|562
1,X.010.E.18-,65.0,nahui xihuitl,X.010.E.18--1.jpg,ce|xiuhtic,117|737
1,X.010.E.20,66.0,? altepetl,X.010.E.20-1.jpg,atl|tepetl,75|570
1,X.010.E.21,67.0,tototepec altepetl,X.010.E.21-1.jpg,tototl|tepetl|atl,685|570|75
1,X.010.E.22-,68.0,...tlatoa,X.010.E.22--1.jpg,tlatoa|effacé,643|236
1,X.010.F.01,69.0,tlachia,X.010.F.01-1.jpg,ixtelolotli,326
1,X.010.F.02,70.0,tepeapolco altepetl,X.010.F.02-1.jpg,apoctli|tepetl|atl,56|570|75
1,X.010.F.03,71.0,tlachia,X.010.F.03-1.jpg,ixtelolotli,326
1,X.010.F.04,72.0,cempohuallan altepetl,X.010.F.04-1.jpg,centli|tepetl|atl,119|570|75
1,X.010.F.05-,73.0,teotihuacan,X.010.F.05--1.jpg,tzacualli,690
1,X.010.F.07,74.0,ozto...,X.010.F.07-1.jpg,oztotl,448
1,X.010.F.08,75.0,tlachia,X.010.F.08-1.jpg,ixtelolotli,326
1,X.010.F.09,76.0,xolotl,X.010.F.09-1.jpg,xolotl,751
1,X.010.F.11,77.0,nopaltzin,X.010.F.11-1.jpg,nopalli,419
1,X.010.F.13,78.0,mizquiyahuallan,X.010.F.13-1.jpg,mizquicuahuitl|yahualiuhqui,378|768
1,X.010.F.14,79.0,atocpan,X.010.F.14-1.jpg,atl|tlalli|pantli,75|615|453
1,X.010.F.15-,80.0,xoloc altepetl,X.010.F.15--1.jpg,xolotl|tepetl|atl,751|570|75
1,X.010.F.17,81.0,macuilli tecpatl xihuitl,X.010.F.17-1.jpg,ce|tecpatl|xiuhtic,117|538|737
1,X.010.F.18,82.0,tlachia,X.010.F.18-1.jpg,ixtelolotli,326
1,X.010.F.19,83.0,tollan,X.010.F.19-1.jpg,tolin,671
1,X.010.F.20,84.0,tlachia,X.010.F.20-1.jpg,ixtelolotli,326
1,X.010.F.21-,85.0,zaca...,X.010.F.21--1.jpg,tzacualli|zacatl|artefact_09,690|776|69
1,X.010.F.24,86.0,macuilli xihuitl,X.010.F.24-1.jpg,ce|xihuitl_4,117|731
1,X.010.F.25,87.0,maxalihui,X.010.F.25-1.jpg,xocpalmachiyotl,747
1,X.010.F.26,88.0,tolteca(tl),X.010.F.26-1.jpg,tolin|tentli,671|562
1,X.010.F.27,89.0,tepenenec altepetl,X.010.F.27-1.jpg,nenetl|tepetl|atl,411|570|75
1,X.010.F.28,90.0,? altepetl,X.010.F.28-1.jpg,effacé|tepetl,236|570
1,X.010.F.29,91.0,itzcuintecua,X.010.F.29-1.jpg,itzcuintli|tentli,317|562
1,X.010.F.31,92.0,tepotzotecua,X.010.F.31-1.jpg,tepotzotli|tentli,575|562
1,X.010.F.33,93.0,huihuaxtzin,X.010.F.33-1.jpg,huaxin|huictli,275|281
1,X.010.F.35,94.0,zacatitechcochi,X.010.F.35-1.jpg,zacatl|icopi,776|300
1,X.010.F.37,95.0,chicuace ? tochtli xihuitl,X.010.F.37-1.jpg,ce|tochtli|xiuhtic,117|670|737
1,X.010.F.39,96.0,nahui ? calli xihuitl,X.010.F.39-1.jpg,ce|calli|xiuhtic,117|105|737
1,X.010.F.41,97.0,ei ? tecpatl xihuitl,X.010.F.41-1.jpg,ce|tecpatl|xiuhtic,117|538|737
1,X.010.F.42,98.0,,X.010.F.42-1.jpg,flore_04,260
1,X.010.F.43,99.0,ome ? acatl xihuitl,X.010.F.43-1.jpg,ce|acatl|mitl|xiuhtic,117|26|374|737
1,X.010.G.01,100.0,,X.010.G.01-1.jpg,huitztli|tepetl|itztli,291|570|319
1,X.010.G.02-,101.0,? tecpatl,X.010.G.02--1.jpg,ce|tecpatl,117|538
1,X.010.G.04,102.0,tletepec ou tlachinolticpac,X.010.G.04-1.jpg,tletl|tepetl,660|570
1,X.010.G.05,103.0,xilotepec,X.010.G.05-1.jpg,xilotl|tepetl,732|570
1,X.010.G.06,104.0,tepanohuayan ou cuauhacalco,X.010.G.06-1.jpg,acalli|atl,25|75
1,X.010.G.07,105.0,iztaccuauhtli,X.010.G.07-1.jpg,iztac|cuauhtli,332|203
1,X.010.G.09,106.0,,X.010.G.09-1.jpg,terre_02,582
1,X.010.G.11,107.0,xaltocan,X.010.G.11-1.jpg,xalli|tocatl,719|669
1,X.010.G.12,108.0,tecpa,X.010.G.12-1.jpg,tecpatl,538
1,X.010.G.14,109.0,mitliztac,X.010.G.14-1.jpg,mitl|iztac,374|332
1,X.010.G.16,110.0,cozcacuauh,X.010.G.16-1.jpg,cozcatl|cuauhtli,180|203
1,X.010.G.17,111.0,xiyotzontecua,X.010.G.17-1.jpg,tentli|centzontli|artefact_01,562|120|62
1,X.010.G.19,112.0,xiyotecua,X.010.G.19-1.jpg,tentli|artefact_01,562|62
1,X.010.G.21,113.0,? tochtli xihuitl,X.010.G.21-1.jpg,ce|tochtli|xiuhtic,117|670|737
1,X.010.G.22,114.0,ce calli xihuitl,X.010.G.22-1.jpg,ce|calli|xiuhtic,117|105|737
1,X.010.G.23,115.0,? xihuitl,X.010.G.23-1.jpg,ce|xiuhtic,117|737
1,X.010.H.02,116.0,tomiyauh,X.010.H.02-1.jpg,tototl|miyahuatl,685|377
1,X.010.H.04-,117.0,oztopolco altepetl,X.010.H.04--1.jpg,oztotl|tepetl|atl|tetl,448|570|75|584
1,X.010.H.05,118.0,xolotl,X.010.H.05-1.jpg,xolotl,751
1,X.010.H.07,119.0,toltecatlalli,X.010.H.07-1.jpg,tentli|tlalli|tolin,562|615|671
1,X.010.H.08,120.0,tochmilli,X.010.H.08-1.jpg,tochtli|tlalli,670|615
1,X.010.H.09,121.0,mazamilli,X.010.H.09-1.jpg,mazatl|tlalli|cuacuahuitl,362|615|190
1,X.010.H.11,122.0,macuilli tecpatl xihuitl,X.010.H.11-1.jpg,ce|tecpatl|xiuhtic,117|538|737
1,X.010.H.12,123.0,cuauhatlapal,X.010.H.12-1.jpg,atlapalli,77
1,X.010.H.14,124.0,acatomatl,X.010.H.14-1.jpg,acatl|tonalli|atl,26|676|75
1,X.010.H.16,125.0,nopaltzin,X.010.H.16-1.jpg,nopalli,419
1,X.010.H.18,126.0,xocotitlan altepetl,X.010.H.18-1.jpg,effacé|tepetl|atl,236|570|75
1,X.010.I.01,127.0,nahui xihuitl,X.010.I.01-1.jpg,ce|xiuhtic,117|737
1,X.010.I.02,128.0,tolteca(tl),X.010.I.02-1.jpg,tolin|tentli,671|562
1,X.010.I.03,129.0,mitl,X.010.I.03-1.jpg,mitl,374
1,X.010.I.05,130.0,pixahua,X.010.I.05-1.jpg,huitztli|itztli|atl|tliltic,291|319|75|664
1,X.010.I.09,131.0,cohuaxochitzin,X.010.I.09-1.jpg,cohuatl,153
1,X.010.I.10,132.0,acxopal,X.010.I.10-1.jpg,atl|?_05,75|9
1,X.010.I.11,133.0,tlatzalan altepetl,X.010.I.11-1.jpg,tepetl|atl|tlatzalan,570|75|645
1,X.010.I.12,134.0,...tla...,X.010.I.12-1.jpg,tlantli,628
1,X.010.I.13,135.0,ce tecpatl xihuitl,X.010.I.13-1.jpg,ce|tecpatl|xiuhtic,117|538|737
1,X.010.I.14,136.0,huixachtitlan altepetl,X.010.I.14-1.jpg,fruit_01|tepetl|atl,265|570|75
1,X.010.I.15,137.0,itzocan altepetl,X.010.I.15-1.jpg,itztli|tepetl|atl,319|570|75
1,X.010.I.16,138.0,ihuixochitzin,X.010.I.16-1.jpg,ihuitl|xochitl,308|741
1,X.010.I.18,139.0,acxocuauh,X.010.I.18-1.jpg,cuauhtli|xocpalli|atl,203|746|75
1,X.010.I.20,140.0,cuauhtlix,X.010.I.20-1.jpg,cuauhtli|ixtelolotli,203|326
1,X.010.I.21,141.0,toltzalan,X.010.I.21-1.jpg,tolin,671
1,X.010.I.23,142.0,ce xihuitl,X.010.I.23-1.jpg,ce|xiuhtic,117|737
1,X.010.I.24,143.0,acatzalan,X.010.I.24-1.jpg,acatl,26
1,X.010.I.26,144.0,tziuh...,X.010.I.26-1.jpg,ornement_04,443
1,X.010.I.27,145.0,nauhyotl,X.010.I.27-1.jpg,ce,117
1,X.010.I.30,146.0,oceloxochi,X.010.I.30-1.jpg,ocelotl|xochitl,420|741
1,X.010.I.31,147.0,colhuacan,X.010.I.31-1.jpg,coltic|tepetl,159|570
1,X.010.I.32,148.0,,X.010.I.32-1.jpg,atl,75
1,X.010.I.33,149.0,tolteca(tl),X.010.I.33-1.jpg,tolin|tentli,671|562
1,X.010.I.34-,150.0,,X.010.I.34--1.jpg,etl,249
1,X.010.I.35,151.0,,X.010.I.35-1.jpg,tlantli|tletl|popoca,628|660|493
1,X.010.I.38,152.0,matlalatzin,X.010.I.38-1.jpg,matlalli|atl,357|75
1,X.010.I.39,153.0,chapoltepec altepetl,X.010.I.39-1.jpg,chapolin|tepetl|atl,129|570|75
1,X.010.I.40,154.0,ce tecpatl xihuitl,X.010.I.40-1.jpg,ce|tecpatl|xiuhtic,117|538|737
1,X.010.I.41,155.0,macuilli xihuitl,X.010.I.41-1.jpg,macuilli|xiuhtic,344|737
1,X.010.I.42,156.0,chicnauhtecatl altepetl,X.010.I.42-1.jpg,macuilli|ce|tepetl|atl|tliltic,344|117|570|75|664
1,X.010.Z.01,157.0,tepetla,X.010.Z.01-1.jpg,tepetl|tepetla|atl,570|571|75
1,X.010.Z.02,158.0,teoatl,X.010.Z.02-1.jpg,atl|huei,75|277
1,X.011.A.02,159.0,,X.011.A.02-1.jpg,effacé|tepetl,236|570
1,X.011.A.03-,160.0,,X.011.A.03--1.jpg,effacé,236
1,X.011.A.07,161.0,,X.011.A.07-1.jpg,tletl|?_06,660|10
1,X.011.A.09-,162.0,? ixpan,X.011.A.09--1.jpg,pantli|ixtelolotli|tepetl|comitl|tlantli,453|326|570|161|628
1,X.011.A.10,163.0,cuauhtolocan,X.011.A.10-1.jpg,cuauhtli,203
1,X.011.A.15,164.0,xolotl,X.011.A.15-1.jpg,xolotl,751
1,X.011.A.17,165.0,nahui xihuitl,X.011.A.17-1.jpg,ce|xiuhtic,117|737
1,X.011.A.19-,166.0,tepexocmaco ...,X.011.A.19--1.jpg,macpalli|comitl|tepetl|tentli,341|161|570|562
1,X.011.A.23,167.0,tolteca(tl),X.011.A.23-1.jpg,tolin|tentli,671|562
1,X.011.A.24,168.0,nopaltzin,X.011.A.24-1.jpg,nopalli,419
1,X.011.B.01,169.0,tepe...,X.011.B.01-1.jpg,tepetl|effacé,570|236
1,X.011.B.02,170.0,nopaltzin,X.011.B.02-1.jpg,nopalli,419
1,X.011.B.05,171.0,,X.011.B.05-1.jpg,xahualli,718
1,X.011.B.06,172.0,xolotl,X.011.B.06-1.jpg,xolotl,751
1,X.011.B.08,173.0,ixococo ou ixconococ,X.011.B.08-1.jpg,arbre_02|comitl|ixtelolotli,58|161|326
1,X.011.B.10,174.0,zacatitechcochi,X.011.B.10-1.jpg,icopi|zacatl,300|776
1,X.011.B.11,175.0,yacazayollan,X.011.B.11-1.jpg,yacatl|zayolin,766|780
1,X.011.B.12,176.0,citli,X.011.B.12-1.jpg,tochtli,670
1,X.011.B.13,177.0,xolotl,X.011.B.13-1.jpg,xolotl,751
1,X.011.B.15,178.0,nahui xihuitl,X.011.B.15-1.jpg,ce|xiuhtic,117|737
1,X.011.B.18,179.0,tolteca(tl),X.011.B.18-1.jpg,tolin|tentli,671|562
1,X.011.B.20,180.0,nopaltzin,X.011.B.20-1.jpg,nopalli,419
1,X.011.B.22,181.0,totollan,X.011.B.22-1.jpg,totolin,681
1,X.011.C.01,182.0,nopaltzin,X.011.C.01-1.jpg,nopalli,419
1,X.011.C.03,183.0,citli,X.011.C.03-1.jpg,tochtli,670
1,X.011.C.05,184.0,,X.011.C.05-1.jpg,tentli|?_04,562|8
1,X.011.C.06,185.0,xiuh...,X.011.C.06-1.jpg,teoxihuitl|tepetl,568|570
1,X.011.C.09,186.0,tolteca(tl),X.011.C.09-1.jpg,tolin|tentli,671|562
1,X.011.C.10,187.0,nopaltzin,X.011.C.10-1.jpg,nopalli,419
1,X.011.D.01,188.0,...tlaca...,X.011.D.01-1.jpg,tlacatl|effacé,599|236
1,X.011.D.02,189.0,,X.011.D.02-1.jpg,atl|tetl|récipient_04,75|584|519
1,X.011.D.03,190.0,,X.011.D.03-1.jpg,chian|molcaxitl,130|381
1,X.011.D.04,191.0,,X.011.D.04-1.jpg,comitl|tlalli,161|615
1,X.011.D.06-,192.0,cuauh...,X.011.D.06--1.jpg,cuauhtli|effacé,203|236
1,X.011.D.10,193.0,mazatzin,X.011.D.10-1.jpg,mazatl|cuacuahuitl,362|190
1,X.011.D.13-,194.0,,X.011.D.13--1.jpg,tlantli|effacé,628|236
1,X.011.D.15,195.0,,X.011.D.15-1.jpg,tlantli|effacé,628|236
1,X.011.D.17,196.0,cuauhtlatocan,X.011.D.17-1.jpg,cuauhtli|tlatoa,203|643
1,X.011.D.18,197.0,xolotl,X.011.D.18-1.jpg,xolotl,751
1,X.011.D.21,198.0,tepotzotzin,X.011.D.21-1.jpg,tepotzotli,575
1,X.012.A.01-,199.0,tepetla,X.012.A.01--1.jpg,tepetl,570
1,X.012.A.03,200.0,,X.012.A.03-1.jpg,tepetl,570
1,X.012.A.04,201.0,tepetla,X.012.A.04-1.jpg,tepetl,570
1,X.012.A.05,202.0,xolotl,X.012.A.05-1.jpg,xolotl,751
1,X.012.A.07-,203.0,tepetla te...,X.012.A.07--1.jpg,tepetl|tetl,570|584
1,X.012.A.08-,204.0,tepetla,X.012.A.08--1.jpg,tepetl,570
1,X.012.A.09,205.0,tepetla,X.012.A.09-1.jpg,tepetl,570
1,X.012.A.10,206.0,texcoco,X.012.A.10-1.jpg,tepetl|texcalli|tetl,570|587|584
1,X.012.A.11,207.0,tepe...,X.012.A.11-1.jpg,tepetl,570
1,X.012.A.13,208.0,azcaxochitzin,X.012.A.13-1.jpg,tamazolin|azcaxochitl,524|89
1,X.012.A.15,209.0,xilocihuatzin,X.012.A.15-1.jpg,xilotl,732
1,X.012.A.17,210.0,,X.012.A.17-1.jpg,tentli|?_10,562|14
1,X.012.A.19,211.0,cohuatepec,X.012.A.19-1.jpg,cohuatl|tepetl,153|570
1,X.012.A.21,212.0,tlaltepantzin,X.012.A.21-1.jpg,tentli|tlalli,562|615
1,X.012.A.23,213.0,tzontecoma,X.012.A.23-1.jpg,centzontli|tecomatl,120|535
1,X.012.A.26,214.0,tecihuatzin,X.012.A.26-1.jpg,tetl,584
1,X.012.A.27,215.0,,X.012.A.27-1.jpg,tentli|pantli,562|453
1,X.012.A.28,216.0,malinalxochitzin,X.012.A.28-1.jpg,malinalli|xochitl,348|741
1,X.012.A.31,217.0,itzmitl tlacoxinqui,X.012.A.31-1.jpg,itztli|mitl|tlantli,319|374|628
1,X.012.A.32,218.0,acatomatl,X.012.A.32-1.jpg,acatl|tonalli|atl,26|676|75
1,X.012.A.36,219.0,,X.012.A.36-1.jpg,effacé,236
1,X.012.A.37,220.0,tepe...,X.012.A.37-1.jpg,tepetl,570
1,X.012.A.38,221.0,huetzin,X.012.A.38-1.jpg,huehuetl,276
1,X.012.A.40,222.0,nopaltzin,X.012.A.40-1.jpg,nopalli,419
1,X.012.A.42,223.0,,X.012.A.42-1.jpg,terre_03,583
1,X.012.A.43,224.0,ei tecpatl xihuitl,X.012.A.43-1.jpg,ce|tecpatl|xiuhtic,117|538|737
1,X.012.A.45,225.0,chichimecacihuatzin,X.012.A.45-1.jpg,chian,130
1,X.012.B.02,226.0,,X.012.B.02-1.jpg,quimilli,512
1,X.012.B.05,227.0,quetzalcuetzin,X.012.B.05-1.jpg,cueitl|effacé,214|236
1,X.012.B.07,228.0,chalchiuhtlanextzin,X.012.B.07-1.jpg,chalchihuitl|effacé,124|236
1,X.012.B.09,229.0,cholollan,X.012.B.09-1.jpg,chocholli,143
1,X.012.B.10,230.0,,X.012.B.10-1.jpg,plume_02|quetzalli,490|507
1,X.012.B.13,231.0,quetzalcuetzin,X.012.B.13-1.jpg,quetzalli|cueitl,507|214
1,X.012.B.18,232.0,quechollan,X.012.B.18-1.jpg,quecholli|tepetl,499|570
1,X.012.B.19-,233.0,matlacxochitl,X.012.B.19--1.jpg,macuilli|xochitl,344|741
1,X.012.B.22,234.0,,X.012.B.22-1.jpg,quechquemitl,500
1,X.012.B.24,235.0,chicome ?,X.012.B.24-1.jpg,macuilli|ce,344|117
1,X.012.B.25,236.0,pochotl,X.012.B.25-1.jpg,pochotl,492
1,X.012.B.29,237.0,cohuatzin,X.012.B.29-1.jpg,cohuatl,153
1,X.012.B.29-,238.0,chalchiuhtlanextzin,X.012.B.29--1.jpg,chalchihuitl|tlanextli,124|626
1,X.012.B.31,239.0,,X.012.B.31-1.jpg,effacé,236
1,X.012.B.34,240.0,cuauhatlapal,X.012.B.34-1.jpg,atlapalli,77
1,X.012.B.35,241.0,xolotl,X.012.B.35-1.jpg,xolotl,751
1,X.012.B.38,242.0,tocpacxochitzin,X.012.B.38-1.jpg,xochitl|pachtli|cuaitl,741|449|196
1,X.012.B.39,243.0,...nahuacatzin,X.012.B.39-1.jpg,ilhuicatl|zo|tlatoa,310|781|643
1,X.012.B.41,244.0,tepetla,X.012.B.41-1.jpg,tepetl,570
1,X.012.B.42,245.0,,X.012.B.42-1.jpg,atl|cilli,75|146
1,X.012.B.43,246.0,tepetla,X.012.B.43-1.jpg,tepetl,570
1,X.012.B.44,247.0,me...,X.012.B.44-1.jpg,metl|effacé,365|236
1,X.012.B.45,248.0,chalchiuhcihuatzin,X.012.B.45-1.jpg,chalchihuitl,124
1,X.012.B.47,249.0,,X.012.B.47-1.jpg,effacé,236
1,X.012.B.49,250.0,tepetla te...,X.012.B.49-1.jpg,tepetl|tetl,570|584
1,X.012.B.50,251.0,nopaltzin,X.012.B.50-1.jpg,nopalli,419
1,X.012.B.52,252.0,ozto...,X.012.B.52-1.jpg,oztotl,448
1,X.012.B.53,253.0,tlotzin,X.012.B.53-1.jpg,cuauhtli|plume_01,203|489
1,X.012.B.56,254.0,tocpacxochitzin,X.012.B.56-1.jpg,xochitl|pachtli|cuaitl,741|449|196
1,X.012.B.57,255.0,tepe...,X.012.B.57-1.jpg,tepetl,570
1,X.012.B.58,256.0,chalchiuhtotomotzin,X.012.B.58-1.jpg,chalchihuitl|totomochtli,124|684
1,X.012.B.60,257.0,azcaxochitzin,X.012.B.60-1.jpg,tamazolin|azcaxochitl,524|89
1,X.012.B.62,258.0,quinatzin tlaltecatzin,X.012.B.62-1.jpg,tlatoa|tlalli|itzcuintli,643|615|317
1,X.012.B.64,259.0,cuetlachihuitzin,X.012.B.64-1.jpg,cuetlachtli|ihuitl,216|308
1,X.012.B.64-,260.0,nopaltzin,X.012.B.64--1.jpg,nopalli,419
1,X.012.B.66,261.0,malinalxochitzin,X.012.B.66-1.jpg,malinalli|xochitl,348|741
1,X.012.B.68-,262.0,tlatzalan,X.012.B.68--1.jpg,tepetl|tlatzalan,570|645
1,X.012.C.02,263.0,mitliztac,X.012.C.02-1.jpg,iztac|mitl,332|374
1,X.012.C.06,264.0,ozto...,X.012.C.06-1.jpg,oztotl,448
1,X.012.C.08,265.0,ozto...,X.012.C.08-1.jpg,oztotl,448
1,X.012.C.09,266.0,tecpa,X.012.C.09-1.jpg,tecpatl,538
1,X.012.C.11,267.0,ozto...,X.012.C.11-1.jpg,oztotl,448
1,X.012.C.12,268.0,acatomatl,X.012.C.12-1.jpg,acatl|tonalli|atl,26|676|75
1,X.012.C.14,269.0,iztaccuauhtli,X.012.C.14-1.jpg,cuauhtli|effacé,203|236
1,X.012.C.16,270.0,cozcacuauh,X.012.C.16-1.jpg,cozcatl|cuauhtli,180|203
1,X.012.C.17,271.0,ozto...,X.012.C.17-1.jpg,oztotl,448
1,X.012.C.19,272.0,ozto...,X.012.C.19-1.jpg,oztotl,448
1,X.012.C.21,273.0,cuauhatlapal,X.012.C.21-1.jpg,atlapalli,77
1,X.012.C.23,274.0,ozto...,X.012.C.23-1.jpg,oztotl,448
1,X.012.C.24,275.0,nopaltzin,X.012.C.24-1.jpg,nopalli,419
1,X.012.C.26,276.0,xolotl,X.012.C.26-1.jpg,xolotl,751
1,X.012.C.28,277.0,popozoc,X.012.C.28-1.jpg,comitl|atl,161|75
1,X.012.C.30,278.0,...quen ou tequihuatzin,X.012.C.30-1.jpg,tilmatli|huictli,593|281
1,X.012.C.32,279.0,tlotzin,X.012.C.32-1.jpg,cuauhtli|plume_01,203|489
1,X.012.C.33,280.0,ozto...,X.012.C.33-1.jpg,oztotl,448
1,X.012.C.34,281.0,tomiyauh,X.012.C.34-1.jpg,miyahuatl|effacé,377|236
1,X.012.C.36,282.0,,X.012.C.36-1.jpg,xochitl|effacé,741|236
1,X.012.D.01,283.0,...toto... atlalli,X.012.D.01-1.jpg,tlalli|atl|tototl|terre_01|effacé|pitzahuac,615|75|685|581|236|482
1,X.012.D.02,284.0,tepe...,X.012.D.02-1.jpg,tepetl,570
1,X.012.D.04,285.0,chalco,X.012.D.04-1.jpg,chalchihuitl|terre_02,124|582
